,hoopR_ID,athlete,nba_api_ID
691,4066450,Armoni Brooks,1629717
692,4066457,Austin Reaves,1630559
693,4066467,Malik Fitts,1630238
694,4066490,Kostas Antetokounmpo,1628961
695,4066508,Charlie Brown Jr.,1629718
696,4066636,Markelle Fultz,1628365
697,4066648,Rui Hachimura,1629060
698,4066650,Zach Collins,1628380
699,4066651,Killian Tillie,1629681
700,4066668,Malachi Flynn,1630201
701,4066731,Jalen McDaniels,1629667
702,4066736,Jordan Ford,1630259
703,4066757,Sam Merrill,1630241
704,4066786,Jeff Dowtin Jr.,1630288
705,4066790,Anthony Lamb,1630237
706,4066808,Taze Moore,1631386
707,4066851,Miye Oni,1629671
708,4066993,Dru Smith,1630696
709,4067017,A.J. Lawson,1630639
710,4067045,Alize Johnson,1628993
711,4067069,Nate Darling,1630268
712,4067325,Nathan Knight,1630233
713,4067469,Jemerrio Jones,1629203
714,4067735,Carlik Jones,1630637
715,4067858,Kevon Harris,1630284
716,4080610,Hamidou Diallo,1628977
717,4222252,Isaiah Hartenstein,1628392
718,4230546,Terrance Ferguson,1628390
719,4230547,Frank Ntilikina,1628373
720,4230548,Rodions Kurucs,1629066
721,4230550,Elie Okobo,1629059
722,4230551,Arnoldas Kulboka,1629083
723,4230554,Marko Guduric,1629741
724,4237215,Vincent Poirier,1629738
725,4237239,William Howard,1629739
726,4277811,Collin Sexton,1629012
727,4277812,Alex Reese,1642024
728,4277813,Herbert Jones,1630529
729,4277842,Trevon Duval,1628979
730,4277843,Gary Trent Jr.,1629018
731,4277847,Wendell Carter Jr.,1628976
732,4277848,Marvin Bagley III,1628963
733,4277850,RaiQuan Gray,1630564
734,4277869,Jose Alvarado,1630631
735,4277871,Moses Wright,1630589
736,4277880,Malik Williams,1642013
737,4277882,Brian Bowen II,1628968
738,4277883,Jordan Nwora,1629670
739,4277886,Freddie Gillespie,1630273
740,4277887,Lindell Wigginton,1629623
741,4277890,Lonnie Walker IV,1629022
742,4277892,Marcus Garrett,1630585
743,4277905,Trae Young,1629027
744,4277919,Mo Bamba,1628964
745,4277922,Jericho Sims,1630579
746,4277923,Zhaire Smith,1629015
747,4277928,Jarrett Culver,1629633
748,4277951,Luka Garza,1630568
749,4277952,Bruno Fernando,1628981
750,4277956,Jordan Poole,1629673
751,4277957,Isaiah Livers,1630587
752,4277961,Jaren Jackson Jr.,1628991
753,4277964,Xavier Tillman,1630214
754,4278031,Oshae Brissett,1629052
755,4278045,Chaundee Brown Jr.,1630602
756,4278046,Olivier Sarr,1630846
757,4278049,Daniel Gafford,1629655
758,4278052,Chuma Okeke,1629643
759,4278053,Davion Mitchell,1630558
760,4278067,Nic Claxton,1629651
761,4278073,Shai Gilgeous-Alexander,1628983
762,4278075,Kevin Knox II,1628995
763,4278076,Nick Richards,1630208
764,4278077,Jarred Vanderbilt,1629020
765,4278078,P.J. Washington,1629023
766,4278080,Tremont Waters,1629682
767,4278103,Jontay Porter,1629007
